sentence1	sentence2
Ukažete, ubogajo vas, in bitka je dobljena.	Ukažeš, ubogajo te, in bitka je dobljena.
Senatorji pa so pretkani, priliznjeni in goljufivi.	Ampak ti senatorji so pretkani, priliznjeni in goljufivi.
Rim morava ubraniti pred politiki, Maksim.	Rim moramo ubraniti pred politiki, Maksim.
Lahko računam na vas, ko bo prišel čas?	Lahko računam nate, ko bo napočil čas?
Veličanstvo, ko me bo vaš oče razrešil, nameravam domov.	Visočanstvo, ko me bo vaš oče razrešil, kanim oditi domov.
Ni vas pozabila.	Ni te pozabila.
In zdaj ste ugleden človek.	In zdaj si ugleden človek.
Ko bi se rodila kot moški, bi postala izjemen cesar.	Ko bi se le rodila kot moški, bi postala izjemen cesar.
Pa bi bila tudi pravična?	Bi bila tudi pravična?
Bila bi takšna, kakršno si me vzgojil.	Bila bi taka, za kakršno si me vzgojil.
Potrebujem tvojo pomoč.	Potrebujem nasvet.
Zdaj te bo potreboval bolj, kot kdaj koli prej.	In ... Zdaj te bo potreboval bolj kot kdaj koli prej.
Pretvarjajva se, da si ljubeča hči, jaz pa sem dober oče.	Pretvarjajva se, da si ljubeča hči, jaz pa dober oče.
-Še enkrat mi povej, Maksim.	-Znova mi povej, Maksim.
Za slavo cesarstva, veličanstvo.	Zaradi slave cesarstva, visočanstvo.
Ja, spominjam se.	Ja, spomnim se.
Vidiš zemljevid, Maksim?	Vidiš tisti zemljevid, Maksim?
25 let že širim cesarstvo, podjarmljam, prelivam kri.	Četrt stoletja že širim cesarstvo s podjarmljenjem, prelivanjem krvi.
Odkar sem cesar, so minila le štiri leta brez vojne.	Odkar sem cesar, le štiri leta ni pustošila vojna.
Štiri leta od dvajsetih.	Štiri leta miru od dvajsetih.
Prinesel sem meč.	Prinesel sem vojne.
Pogovoriva se.	Pogovoriva se čisto preprosto, kot moža.
5000 mojih mož je v ledenem blatu.	5000 mojih mož je zunaj v ledenem blatu.
3000 jih ranjenih krvavi.	3000 jih je krvavih in razklanih.
2000 jih bo ostalo tu.	2000 jih bo ostalo tukaj za vedno.
Kaj bi rad verjel?	Kaj pa bi rad verjel?
-Da so se borili za vas in za Rim.	-Da so se borili zate in za Rim.
Surov je, krut in temen.	Surov, krut in temen je.
Človek hoče pred smrtjo vedeti, da je imelo njegovo življenje smisel.	Na smrtni postelji želi človek vedeti, da je imelo njegovo življenje smisel.
Pripoveduj mi o svojem domu.	Povej mi o svojem domu.
Moja hiša stoji na hribih nad Trujillom.	Moja hiša leži na hribih nad Trujillom.
Zelenjavnik, ki podnevi dehti po zeliščih, zvečer pa po jasminu.	Zelenjavnik, ki podnevi dehti po zeliščih, zvečer po jasminu.
Pred vrati je velikanski topol.	Pred vrati je ogromen topol.
Fige, jabolka, hruške.	Smokve, jabolka, hruške.
Trta na južnih pobočjih, olive na severnih.	Grozdje na južnih pobočjih, olive na severnih.
Zanj se je vredno boriti.	Za katerega se je vredno boriti.
Pooblastil te bom, da Rimljanom povrneš moč in končaš pokvarjenost, ki jo je oslabila.	Pooblastil te bom, da Rimljanom vrneš moč in končaš pokvarjenost, ki jo je oslabila.
Toda tebe politika še ni pokvarila.	Ampak tebe politika še ni pokvarila.
Komod bo sprejel mojo odločitev.	Komod se bo sprijaznil z mojo odločitvijo.
Ve, da imaš za sabo predano vojsko.	Ve, da imaš za sabo vdano vojsko.
Potrebujem nekaj časa za razmislek, veličanstvo.	Potrebujem nekaj časa za premislek, visočanstvo.
Upam, da se boš do sončnega zahoda odločil.	Upam, da boš do sončnega zahoda sprejel.
Moj oče ti je naklonjen.	Moj oče je zdaj naklonjen tebi.
-Veliko mož je padlo.	-Veliko mojih mož je padlo.
Kaj je hotel moj oče?	-Kaj je moj oče želel?
Vsakič sem te spregledala, ker ti laganje ne gre dobro.	Vsakič sem te lahko prebrala, ker ti laganje pač ne gre od rok.
Življenje vojaka je preprosteje.	Življenje vojščaka je bolj preprosto.
Misliš, da sem brezsrčna?	Ali misliš, da sem brezsrčna?
Je res tako hudo, da me spet vidiš?	Je res tako hudo, da me znova vidiš?
Boli te, ko vidiš, kako šibek je oče.	Boli te, ko vidiš, kako šibek je moj oče.
Komod pričakuje, da ga bo imenoval za naslednika.	Komod pričakuje, da ga bo v naslednjih dneh imenoval za naslednika.
Vedno bom služil Rimu.	Vselej bom služil Rimu.
Veš, v svojih molitvah se te še vedno spominjam.	V svojih molitvah se te še vedno spominjam.
Kmalu bo star osem let.	Kmalu bo dopolnil osem let.
Blagoslovljeni oče, bdi nad ženo in sinom s pripravljenim mečem.	Blagoslovljeni oče, bdi nad mojo ženo in sinom s pripravljenim mečem.
Zašepetaj jima, da živim le zato, da bi ju še kdaj prižel k sebi.	Zašepetaj jima, da živim le za to, da bi ju še kdaj prižel k sebi.
Včasih počnem, kar hočem.	Včasih počnem, kar sam hočem.
Sicer pa to, kar moram.	Ostali čas pa to, kar moram.
Kaže, da le ne bova mogla kmalu domov.	Kaže, da vendarle še ne bova mogla iti domov.
Sem, oče.	Da, oče.
Rim bo spet republika.	Rim bo bil znova republika.
Vedel sem, da nimam nobene.	Vedel sem, da ne posedujem nobene.
Imam pa druge vrline, oče.	Imam pa zato druge vrline, oče.
Tudi to je lahko vrlina, če nas žene k odličnosti.	To je tudi lahko vrlina, če nas žene do odličnosti.
Morda ne na bojišču, toda poguma je več vrst.	Morda sicer ne na bojnem polju, a obstaja več vrst poguma.
Toda nobene od mojih vrlin ni bilo na seznamu.	Ampak nobene mojih vrlin ni bilo na seznamu.
Kaj na meni tako silno sovražiš?	Kaj pri meni tako silno sovražiš?
Želel sem si le, da bi ti dorasel, cesar.	Želel sem si le, da bi ti bil dorasel, cesar.
Ves svet bi pobil, samo da bi me ljubil.	Cel svet bi poklal, če bi me le ljubil!
Žaluj z mano, brat.	Žaluj z menoj, brat.
Izdihnil je med spanjem.	Med spanjem je izdihnil.
Sprejmi mojo roko.	Primi mojo roko.
Samo enkrat ti jo bom ponudil.	Le enkrat ti jo ponudim.
Cesar je tako ukazal.	Cesar je tako naročil.
Jezdite do zore, nato ga usmrtite.	Jezdite do zore, nato pa ga usmrtite.
Smrt vojaka.	Smrt vojščaka.
V mrazu se rezilo včasih zatakne.	Zaradi mraza se včasih rezilo zatakne.
Spet ju boš srečal.	Še ju boš videl.
Vsak dan, ko si tukaj, je odličen, danes pa je tvoj najsrečnejši dan.	Vsak dan, ko si tukaj, je odličen, danes pa je tvoj najbolj srečen dan.
Samo jedo, parijo se pa ne.	Samo jedo, parijo pa se ne.
Prodal si mi jalove žirafe.	Prodal si mi slabe žirafe.
Ponudil ti bom posebno ceno.	Dal ti bom posebno ceno.
Pridi si jih ogledat.	Pridi jih pogledat.
Nekateri so dobri za boj, drugi za smrt.	Nekateri so dobri za boj, drugi za umiranje.
-Mogoče, a komu mar?	-Mogoče, ampak kaj za to?
Samo Numidijec je vreden 2000.	Že Numidijec je vreden 2000.
2000, za zveri 4000. 5000 za starega prijatelja.	2000, za zveri 4000. 5000 za mojega starega prijatelja.
Koliko bo trajalo, da bom prišel v lastno hišo?	Koliko traja, da pridem v lastno hišo?
Ko boste umrli, kar zagotovo boste, boste slišali tole... Gladiatorji, pozdravljam vas.	Ko umrete, kar zagotovo boste, boste slišali tole ... Gladiatorji, pozdravljam vas.
Njegov čas bo še prišel.	Njegov čas bo že prišel.
Nekateri menite, da se ne boste borili, da se ne morete.	Nekateri si mislite, da se ne boste borili, spet drugi, da se ne morete.
To pravijo vsi, dokler niso tam.	Vsi to pravijo, dokler niso tam zunaj.
Zarijte to v meso drugega človeka in ploskali vam bodo ter vas ljubili za to.	Zarijte to v meso drugega človeka in ploskali ter ljubili vas bodo zaradi tega.
Ne nazadnje smo vsi mrtvi.	Konec koncev smo vsi mrtvi možje.
Žal ne moremo odločati o tem, kako bomo umrli, lahko pa odločamo o tem, da nas bodo pomnili kot može.	Žal ne moremo odločiti, kako umremo, lahko pa odločimo, da bomo tako, da nas bodo pomnili kot može.
Vi na levi, vzemite ščite!	Tisti na levi, vzemite ščite!
Vi na desni, vzemite meče!	Tisti na desni, vzemite meče!
V Rim prihaja kot zmagovalec.	V Rim prihaja kot zmagovit junak.
Toda kaj je osvojil?	Ampak kaj je osvojil?
Steci k materi, Lucij.	Pojdi k materi, Lucij.
Rim pozdravlja novega cesarja.	Rim pozdravlja svojega novega cesarja.
Vaši zvesti podaniki vam izrekajo dobrodošlico, veličanstvo.	Vaši vdani podaniki vam izrekajo dobrodošlico, visočanstvo.
-Rim se veseli vaše vrnitve.	Ves Rim se veseli vaše vrnitve.
Da bi vam pomagali, cesar, je senat pripravil niz protokolov, da bi začeli odpravljati težave mesta, začenši z zdravstvenimi ukrepi v grški četrti, kjer se že pojavlja kuga.	Da bi vam pomagali, cesar, je senat pripravil niz protokolov, da bi začeli odpravljati težave mesta, začenši z osnovnimi zdravstvenimi ukrepi v grški četrti, kjer se že pojavlja kuga.
To je bistvo težav, kajne?	To je srž težave, mar ne?
Pri tem pa je pozabil na ljudi.	Medtem pa je pozabil na ljudi.
Toda veličanstvo, senat so ljudje, izbrani od ljudi, da govorijo v njihovem imenu.	Visočanstvo, ampak senat so ljudje, izbrani od ljudi, da za njih govorijo.
Potem bi nas cesar lahko podučil, na podlagi bogatih izkušenj.	Potem bi nas lahko cesar podučil, glede na njegove bogate izkušnje.
Ste že kdaj objeli umirajočega za kugo, veličanstvo?	-Ste že kdaj objeli umirajočega za kugo, visočanstvo?
Ne, a če me še enkrat prekineš, ti zagotavljam, da ga boš ti.	Ne, toda če me še enkrat prekineš ... Ti zagotavljam, da ga boš ti.
Senator, brat je utrujen.	-Senator, moj brat je utrujen.
Kdo pa so, da mi pridigajo?	Kdo so oni, da predavajo meni?
-Komod, senat ima svoje prednosti.	-Komod, senat ima svoje koristi.
Kakšne prednosti?	Kakšne koristi?
Morala bi biti samo midva in Rim.	Samo midva in Rim bi morala biti.
Niti pomisli ne na to.	Niti pomisli ne.
Očetova vojna proti Barbarom... Sam je rekel, da ni dosegel nič.	-Očetova vojna proti barbarom ... Sam je rekel, da ni dosegla nič.
Toda ljudje so ga oboževali.	Ampak ljudje so ga oboževali.
Ne vidiš, Lucila?	Kaj ne vidiš, Lucila?
Kmalu bodo pozabili suhoparno pridiganje dolgočasnih starcev.	In kmalu bodo pozabili suhoparno pridiganje dolgočasnih starcev.
Trdna kombinacija.	Močna kombinacija.
Daj jim čarovnijo, in zamotil jih boš.	Pričaraj jim čarovnijo, in zamotil jih boš.
Utripajoče srce Rima ni marmor Senata, temveč pesek Koloseja.	Utripajoče srce Rima ni marmor v senatu, temveč pesek v Koloseju.
Niste zato tukaj?	Kaj niste zato tukaj?
Kaj hočeš?	Kaj želiš?
Dober si, Španec, a tako dober spet ne.	Dober si, Španec, tako dober pa spet ne.
Za provinco že, za Rim pa ne.	Za province že, za Rim pa ne.
To me zabava, kajti modri, vsevedni Mark Avrelij je bil tisti, ki nas je pregnal.	Ob tem se zabavam, kajti modri, vsevedni Mark Avrelij je bil tisti, ki nas je pregnal.
Po petih letih životarjenja v vaseh, polnih bolh, se končno vračamo tja, kamor sodimo - v Kolosej.	Po petih letih životarjenja v vaseh, polnih bolh, se končno vračamo tja, kamor spadamo - v Kolosej.
50 000 Rimljanov budno spremlja vsak premik tvojega meča in zahteva, da nasprotniku zadaš smrtni udarec.	50.000 Rimljanov budno spremlja vsak gib tvojega meča in zahteva, da nasprotniku zadaš smrtni udarec.
Tišina pred udarcem in trušč po njem.	Tišina pred udarcem in hrup za njim.
Dviguje se... Kot vihar.	Dvigujeta se ... Kot vihar.
Kot da bi bil sam bog groma.	Kot da bi bil ti sam bog groma.
Si si prislužil svobodo?	Si si zaslužil svobodo?
Prijel me je za ramo, in bil sem svoboden.	Prijel me je za ramo, in svoboden sem bil.
Vprašal si me, kaj hočem.	Vprašal si me, kaj želim.
Tako kot ti, si tudi jaz želim stati pred cesarjem.	Tako kot ti tudi jaz želim stati pred cesarjem.
Najboljši sem bil zato, ker me je množica oboževala.	Najboljši sem bil, ker so me ljudje oboževali.
Pridobi jo na svojo stran in svoboden boš.	Pridobi ljudi na svojo stran, in postal boš svoboden.
Pridobil si bom množico na svojo stran.	Pridobil bom ljudi na svojo stran.
Dal ji bom nekaj, česar še ni videla.	Dal jim bom nekaj, česar še niso videli.
In potem, ko bo umrlo dovolj mož, boš mogoče dobil svojo svobodo.	In potem, ko bo dovolj mož umrlo, boš morda dobil svojo svobodo.
Moja dežela je nekje tam.	Moja država je tam nekje.
Hčere nosijo vodo iz reke.	Moje hčere nosijo vodo iz reke.
Moja žena in sin me že čakata.	Kajti moja žena in sin me že čakata.
Spet ju boš srečal.	Še ju boš videl.
Lepo te je spet videti, prijatelj stari.	Lepo, da se spet vidiva, prijatelj stari.
Nisem vedel, da ljudje znajo zgraditi kaj takega.	Nisem vedel, da ljudje znajo graditi take stavbe.
Trdno spi, ker je ljubljen.	Tako trdno spi, ker je ljubljen.
Pozno je že.	Pozno je.
Zaradi mene bo Rim postal čudo vseh časov.	Rim bo zaradi mene postal čudo veka.
Grah in njegovi prijatelji tega ne razumejo.	Tega Grakh in njegovi prijatelji ne razumejo.
Zaradi vseh teh želja imam hud glavobol.	Zaradi vseh želja imam tako hud glavobol.
Mislim, da moraš zdaj počivati.	Mislim, da se zdaj moraš spočiti.
Boš ostala z mano?	Boš ostala z menoj?
Boš nocoj ob meni?	Boš ostala z menoj?
Potem me pa poljubi.	Potem pa me poljubi.
Umaknite se!	Premaknite se!
Ljudje hočejo bitke, zato jim jih cesar tudi da.	Ljudje želijo bitke, zato jim jih cesar ponudi.
Ti boš dobil bitko v Kartagini.	Ti dobiš bitko v Kartagini.
Zakaj ne greš v zapor in zbereš berače in lopove?	Zakaj ne greš v zapor in zbereš vse berače in lopove?
-Smo jih že.	-Smo že.
Če hočeš najboljše gladiatorje v cesarstvu, hočem dvojno ceno.	Če želiš najboljše gladiatorje tega cesarstva, hočem dvojno ceno.
Dobil boš ceno po pogodbi, ali pa jo bomo razdrli.	Dobil boš ceno po pogodbi, ali pa jo razdremo.
Lahko se vrneš v zakoten kraj, iz katerega si prišel.	Potem se lahko vrneš v tisti zakoten kraj, od koder si prišel.
Gladiator, si ti ta, ki mu pravijo Španec?	Gladiator, si ti tisti, ki ga kličejo Španec?
Imate v Španiji dobre konje?	Imajo v Španiji dobre konje?
-Pa oče?	-In oče?
Ko bo prišel cesar, dvignite orožje, ga pozdravite in govorite v en glas.	Ko se pojavi cesar, dvignite orožje, ga pozdravite in skupno govorite.
Bodite obrnjeni k cesarju in mu ne obračajte hrbta!	Bodite obrnjeni k cesarju in ne obračajte mu hrbta!
Pojdite in umrite častno.	Pojdite in častno umrite.
Je kdo od vas bil v vojski?	Je že kdo bil v vojski?
S tabo sem služil pri Vindoboni.	S teboj sem služil pri Vindoboni.
Večjo možnost za preživetje bomo imeli, če bomo sodelovali.	Večjo možnost za preživetje imamo, če sodelujemo.
Če bomo ostali skupaj, bomo preživeli.	Če ostanemo skupaj, preživimo.
Cesar vam predstavlja legionarje Scipiona starejšega!	Cesar vam z zadovoljstvom predstavlja legionarje Scipiona starejšega!
Ostanite skupaj.	Ostanite usklajeni.
Dvignite ščite.	Držite ščite.
V zgodovini nisem ravno dober, Kasij, toda a ne bi morali barbari izgubiti bitko pri Kartagini?	Zgodovina ni ravno moja močna točka, Kasij, ampak kaj ne bi morali barbari izgubiti bitko pri Kartagini?
Oprostite, veličanstvo.	Oprostite, visočanstvo.
Kdo je ta?	Kdo je on?
-Prav, veličanstvo.	-Prav, visočanstvo.
Odvrzite orožje.	Spustite orožje.
Zakaj se junak ne razkrije in nam zaupa pravega imena?	Zakaj se junak ne razkrije in nam pove svoje pravo ime?
Imaš ime?	Kako ti je ime?
Ime mi je Maksim Decim Meridij.	Moje ime je Maksim Decim Meridij.
Maščeval se bom za to, v tem ali prihodnjem življenju.	In maščeval se bom za to, naj bo v tem ali naslednjem življenju.
Ničesar nisem občutila.	Nič nisem občutila.
Rekli so mi, da je mrtev.	Zatrjevali so mi, da je mrtev.
Potem moraš sporočiti legijam, da njihova zahrbtnost ne bo ostala nekaznovana.	Potem moraš legije obvestiti, da njihova zahrbtnost ne bo ostala nekaznovana.
Bogate gospe plačajo precej, da pridejo k največjim borcem.	Bogate gospe precej plačajo, da pridejo k največjim borcem.
Ničesar nisem vedela... -Ne laži mi!	Nič nisem vedela ... -Ne laži mi!
Nenehno sem v strahu, ker je tvoj sin prestolonaslednik.	Nenehno me je groza, ker je moj sin prestolonaslednik.
Objokovala sem ju.	Žalovala sem za njima.
Res ne razumeš?	Ali res ne razumeš?
Danes sem videla sužnja, ki je imel večjo moč kot cesar.	Danes sem videla, da je imel suženj večjo moč kot cesar.
Da so mi bogovi prizanesli?	Bogovi so mi prizanesli?
Če bi uredila, bi se srečal z njim?	Če uredim, bi se srečal z njim?
Res ne razumeš?	Ali res ne razumeš?
Kaj lahko spremenim?	Le kaj lahko spremenim?
Pa naj on ubije Komoda!	Potem pa naj on ubije Komoda!
Ni ga več.	Tistega moža ni več.
Pozabi, da si me poznala in se ne vrni nikoli več.	Pozabi, da si me kdaj poznala in se nikdar več ne vrni.
Gospa je opravila.	Gospa je opravila svoje.
Veliko ime imaš.	Ugledno ime imaš.
Redko te vidim, da uživaš v zabavi za množice.	Redko te vidim, da uživaš v zabavi za ljudske množice.
Ne pretvarjam se, da sodim mednje, se pa trudim, da bi delal v njihovo korist.	Ne pretvarjam se, da spadam mednje, se pa trudim, da bi delal v njihovo korist.
Imajo ga za svojega.	Sprejemajo ga kot svojega.
Čez mesec ga bodo pozabili.	V mesecu ga bodo pozabili.
Tako sem uredil.	Tako smo uredili.
Kaj naj storim s tabo?	Kaj naj storim s teboj?
Nikakor nočeš umreti.	Preprosto nočeš umreti.
Sva si res tako različna?	Sva si midva res tako različna?
Jemlješ življenja, ko moraš, tako kot jaz.	Jemlješ življenja, ko moraš, prav tako jaz.
Le še eno moram vzeti.	Le še enega moram vzeti.
Menda je tvoj sin cvilil kot punčara, ko so ga pribijali na križ.	Menda je tvoj sin cvilil kot dekle, ko so ga pribili na križ.
In da je tvoja žena stokala kot vlačuga, ko so se zabijali vanjo.	In tvoja žena je stokala kot vlačuga, ko so udrihali po njej znova in znova in znova.
Govorim mu, da se bova kmalu spet videla in da naj med ježo privzdiguje pete.	Govorim mu, da se bova kmalu spet videla in naj drži pete dol, ko jezdi konja.
To pa se te ne tiče.	To pa ni tvoja stvar.
Vse je ena velika mora.	Vse je kot ena velika nočna mora.
Vsaka njegova zmaga je kljubovanje.	Vsaka njegova zmaga pomeni kljubovanje.
Drhal to vidi, pa tudi senat.	Drhal vidi to, pa tudi senat.
Ne bom ga spremenil v mučenika.	Iz njega ne bom napravil mučenika.
Danes sem jim v senatu odločno povedal, da bom za plačilo stroška iger prodal žitne zaloge.	Danes sem jim v senatu odločno povedal, da bom za plačilo stroška iger prodal žitne rezerve.
