sentence1;setnence1;setnence2;setnence3
 Otroci, dojenčki. Boš pobijal otroke?; Boš pobil otroke?; Kaj pa boš, kavboj? Me boš ustrelil?; Le pridi. Kaj boš naredil?
 Verjemi mi, da nočeš krvi otrok na svojih rokah.; Brez tebe mi ne bo uspelo.; Samo hvala bi ti rekel, ker si jih pobila.; Pomiri se. Živčno me delaš.
 Naj jih poskusim pregovoriti.; Dovolite mi, da jih prepričam.; Naj se ne vtika v moj oddelek.; Če dovoliš, bi rad nekaj povedal.
 Zaupajo mi.; Zaupajo mi.; Oče, vidim te.; Moja je prazna, verjemite.
 Kalibrirajte naprave, gremo noter.; Razbijte formacijo, uničite sovražnika.; Tiho, prosim! Ugasnite luči.; Pošlji plinske naboje skozi glavna vrata.
 Poslušaj me, uro časa imate.; Poslušaj. Eno uro časa imaš.; Wainfleet, končaj že.; Poglej, kje sva, Grace.
 Če nočeš svojega dekleta tam notri ko padejo sekire jih prepričaj v umik. V eni uri.; Če nočeš, da je tvoja punca tam, ko bomo napadli, naj se izselijo. Ena ura.; Tako je. Steci nazaj k mamici.; Ostani pri ladji. En tepec s puško je dovolj.
 Oče! Mati!; Oče!; Oče!; Moji bratje! Sestre!
 Eytukan, nekaj vam moram povedati.; Eytukan, nekaj bi rad povedal.; Jake, Eywa te je slišala.; Nekaj bi rad povedal vsem vam.
 Poslušajte ga.; Poslušajte.; Odpeljite ga.; Pripeljite ga.
 Govori, Jake Sully.; Govori, Jakesully.; Tsaheylu, Jake.; Jake Sully.
 Veliko zlo prihaja nad nas...; Veliko zlo nam grozi.; Ti demoni ne smejo sem.; Če pridejo do Drevesa duš, je konec.
 Ljudje iz nebes prihajajo sem, da bi uničili naš dom.; Ljudje z neba so nam sporočili, da lahko vzamejo, kar hočejo, in da jih ne more nihče ustaviti.; Ti demoni ne smejo sem.; Ljudje z neba bodo prišli, da bi uničili Domače drevo.
 Da nas uničijo? -Lažnivec!; Ne! Bežite, prekleto!; Človek, ne!; Saj to ni res!
 Povejte jim, da bodo kmalu tukaj.; Verjemite, da so tam.; Tega nočete imeti na vesti, verjemite.; Če jih boste hoteli napasti, ne bo lahko.
 Morate oditi, drugače boste vsi umrli.; Oditi morate, drugače boste umrli.; Ti demoni ne smejo sem.; Če hočete deliti ta svet z njimi, jih morate razumeti.
 Si prepričan v to?; Si prepričan?; Je to mogoče?; Je to res?
 Sem so me poslali, da bi se učil o vas.; Sem so me poslali, da bi vas spoznal in da bi vam nekoč lahko predal to sporočilo.; Slišal sem o njej, nisem pa si mislil, da bom šel tja.; Rekel sem, da sanjehodci ne smejo sem.
 Da bi vam lahko nekega dne predal to sporočilo in da bi mi vi verjeli.; Sem so me poslali, da bi vas spoznal in da bi vam nekoč lahko predal to sporočilo.; Karkoli se bo že zgodilo nocoj, kakorkoli se bo izteklo, nazaj sem me ne bo več.; Max, ostani tu. Potrebujem nekoga, ki mu zaupam.
 Kaj praviš, Jake?; Jake, me slišiš?; Kaj za vraga delaš, Jake!; Kaj delaš, Tsu'tey?
 Vedel si, da se bo to zgodilo?; Kaj hočeš reči? Si vedel, da se bo to zgodilo?; Upal sem, da boš to rekel.; Si mislil, da boš prišel sem, v najbolj sovražno okolje, kar jih poznamo, in videl, kako bo šlo?
 Ja.; Ja.; Ja.; Ja.
 Najprej sem samo poslušal ukaze.; Sprva sem samo ubogal ukaz.; Rekel sem si, da lahko opravim vsak test.; Bil sem svoboden.
 Potem pa se je vse spremenilo.; Nato pa se je vse spremenilo.; Ampak to je bila le teorija.; Splačalo se je poskusiti.
 Zaljubil sem se.; Zaljubil sem se.; Marinec sem bil.; Bil sem svoboden.
 Zaljubil sem se v gozd.; Zaljubil sem se v gozd, v ljudstvo Omaticaya in vate.; Zaljubil sem se.; Bil sem na kraju, ki ga oko ne vidi.
 V narod Omaticaya.; Tsaheylu.; Eytucan. –Eytukan. Vodja klana.; Nočem Ninat.
 V tebe.; Zaradi mene.; Tudi jaz tebe.; Veš, kaj to pomeni. Na tla.
 Zaupala sem ti. -Zaupaj mi še zdaj, prosim.; Zaupala sem ti! –Zaupaj mi še zdaj, prosim.;" ""Razumem te."" To moraš razumeti."; Brez tebe mi ne bo uspelo.
 Nikoli ne boš član Naroda!; Nikoli ne boš eden od nas!; Nikoli se ne vrni!; Ne boj se, bojevnik.
 Poskusil jih je ustaviti!; Ne bi smel … –Poskušali smo jih ustaviti!; Videli smo samo, kako je ta marinec izginil v grmovju, ko ga je lovil razdražen thanator.; Rekel sem, da sanjehodci ne smejo sem.
 Zvežite ju.; Zvežite ju.; Če vam bo slabo, uporabite vrečko.; Marinca lahko uporabimo.
 Ne delajte tega!; Razstrelite jo!; Ne! Bežite, prekleto!; Uničite jih!
 Proč morate, prihajajo!; Gremo, hitro!; Zbežite v gozd! –Prihajajo!; Gremo, gremo!
 Zbežite v gozd! -Prihajajo!; Zbežite v gozd! –Prihajajo!; Morate stran. Prihajajo!; Streljajo na nas. Gremo!
 Hočejo uničiti ta kraj.; Zelo težko jih je ubiti.; Toda treba je iti tja, kjer so furije.; Ta tujec se ne bo ničesar naučil.
 Neytiri, takoj moraš proč.; Jake, Eywa te je slišala.; Ne igraj se s tem, oslepel boš.; Hčerka, vzemi moj lok.
 Pojdite v gozd! Bežite!; Bežite v gozd! Bežite!; Ne! Bežite, prekleto!; Umik! Bežite!
 Bežite!; Bežite!; Umik! Bežite!; Dajmo!
 Ne bojte se!; Uničite ga!; Uničite jih!; Razstrelite jo!
 Prekleto, bežite!; Ne! Bežite, prekleto!; Razstrelite jo!; Umik! Bežite!
 Zajahajte Ikrane in napadite z neba.; Razbijte formacijo, uničite sovražnika.; Ko se rampa spusti, pojdite naravnost v bazo.; Vse enote, vklopite izstrelke.
 To pa je res prekleto veliko drevo.; Verjetno se pogovarjam z drevesom.; Samo hvala bi ti rekel, ker si jih pobila.; Ampak to je bila le teorija.
 Glej, glej.; V redu, začnimo.; Tako ja. Nagni se na levo.; Zavij levo. V linku na koncu boš.
 Izgleda, da je diplomaciji spodletelo.; Glej, glej. Kaže, da je diplomaciji spodletelo.; Težko je verjeti, da so minili samo trije meseci.; Za vašega brata gre.
 V redu, ljudje, pa opravimo.; V redu, grem.; Saj ti je že.; Tako se to dela.
 Hočem, da gre vsak naboj plina naravnost skozi glavna vrata.; Lahko bi me zakrpali, če bi šel nazaj.; Sovražnik je tam zunaj in zelo močan je.; Vodja varnostnikov sem. Moja naloga je, da vas ohranim žive.
 Razumem, CS-40 je pripravljen.; Razumem. CS–40 so pripravljeni.; Mislim, da je drugi obroč nosilen.; Mislim, da je čas, da opravimo nalogo.
 Ogenj. -Streljam.; Streljaj. –Streljam.; Streljaj.; Slišim jih.
 Zadetek. Dobro ciljaš, mojster.; Dobro se uči, Jakesully.; Vidim te.; Vidim te.
 Gospod, streljajo na nas.; Podrite ga! –Izstrelite izstrelke.; Streljajo na nas. Gremo!; Mater, so veliki.
 Ne zafrkavajte me.; Oprostite.; Razumem. Umaknite se.; Odpeljite ga.
 Ti bedaki niso razumeli sporočila.; Rekel sem, da sanjehodci ne smejo sem.; Nihče mu ni nič mogel.; Ta tujec se ne bo ničesar naučil.
 Malo jim podkurimo, vključite rakete.; Razen če jih ustavimo.; Gotovo nas že opazujejo.; Ker nismo edini, ki letijo tam okrog.
 Ogenj.; Jezdec zadnje sence.; Semena svetega drevesa.; Streljaj.
 Vsi se umaknite v gozd!; Razstrelite jo!; Odklopili se bodo!; Gremo, hitro!
 Tako se znebiš ščurkov.; Tako se prežene ščurke.; Puščice namakajo v strup, ki ti v minuti ustavi srce.; Lahko si narediš lok iz lesa Domačega drevesa.
 Neytiri!; Neytiri!; Neytiri!; Neytiri!
 Proč morava, razstrelil bo stebre!; Stran morava, uničil bo stolpe.; Samo drevesa so!; Eywa te je slišala!
 Moat, ne!; Človek, ne!; O ne!; Ne! Bežite, prekleto!
 Če si res eden izmed nas...; Zdaj pa je čas, da se vrneš.; Poslušaj me. Jake!; Nikoli ne boš eden od nas!
 nam pomagaj.; Poglej svet, od koder prihajamo.; Tsahik naj odloči.; Pojdimo, vas se zgodaj prebudi.
 Vse enote, vključite rakete.; Vse enote, vklopite izstrelke.; Spremljevalci, ostanite pri raketoplanu.; Riderjev oddelek, vklopi izstrelke.
 Namerite na osnovo zahodnih stebrov.; Ko se rampa spusti, pojdite naravnost v bazo.; Na desno! Obrnite.; Imajo zunanji obroč stebrov.
 Sem!; Sem!; Jah!; Stran!
 Ja, mala, tu imaš!; Tu imaš!; Počakaj me!; Nimaš samo ti orožja, prasica.
 Podrite ga.; Odpeljite ga.; Ne bojte se.; Razumem. Umaknite se.
 Pridi, Grace, hitro!; Gremo, hitro!; Trudy, vžgi ladjo. Gremo!; Zbudi se! Jake, zbudi se!
 Na tla!; Veš, kaj to pomeni. Na tla.; Ne, nazaj! Nazaj!; Strela!
 Odjebi.; Prebudi se.; Ustavi se malo.; Izvoli.
 Kaj za vraga delaš?; Kaj delaš, Tsu'tey?; Kaj delaš?; Kaj pa si?
 Nisem podpisala za tako sranje!; Saj to ni res!; Ne! Bežite, prekleto!; Samo hvala bi ti rekel, ker si jih pobila.
 Gremo!; Gremo!; Gremo!; Gremo, gremo!
 Dobro opravljeno, ljudje.; Mirno, ljudje.; Mirno, fant.; Opravimo to, ljudje.
 Nocoj plačam prvo rundo.; Premikanje vidim.; Naravnost noter. Počakajte na moj znak.; Dobro ste opravili. Nocoj prvo rundo plačam jaz.
 Gremo.; Gremo.; Gremo.; Gremo.
 Oče!; Oče!; Oče!; Ogenj!
 Oče!; Oče!; Oče!; Ogenj!
 Hči...; Pale je samica.; Hej, vidva.; To je mati.
 Vzemi moj lok.; Hčerka, vzemi moj lok.; Vzemi ikrana, napadi od zgoraj.; Tako ja. Nagni se na levo.
 Zaščiti naš narod.; Domorodcem se moraš prikupiti.; To je mati.; Tu imaš!
 Neytiri!; Neytiri!; Neytiri!; Neytiri!
 Žal mi je.; Žal mi je, Jake.; V redu. Žal mi je.; Čudno je.
 Pojdi proč!; Poberi se!; Zbudi se, prosim!; Bežite!
 Pojdi proč!; Poberi se!; Zbudi se, prosim!; Bežite!
 Nikoli se ne vračaj!; Nikoli se ne vrni!; Nikoli ne boš eden od nas!; Pripelji ga nazaj!
 Izključite.; Izključi elektriko.; Razstrelite jo!; Pokličite še druge klane.
 Tega ne smete!; Saj to ni res!; Razstrelite jo!; Ne, tega ne smete! –Tega ne smete!
 Bil sem bojevnik, ki je sanjal, da bo prinesel mir.; Bil sem bojevnik, ki je mislil, da lahko prinese mir.; Bil sem svoboden.; Zaljubil sem se v gozd, v ljudstvo Omaticaya in vate.
 A prej ali pozneje, na koncu se vedno zbudiš.; Toda prej ali slej se moraš zbuditi.; Toda prej ali slej se je treba zbuditi.; Zdaj pa je čas, da se vrneš.
 Pošasti!; Sranje!; Sranje!; Sranje!
 Kako kaj gre, dolgo se že nisva videla.; Kaj se dogaja? Dolgo se nisva videla.; Saj ti je že.; Poln nos njegovega vonja imam.
 Osebno menim, da si ti izdajalski ljubitelji drevja ne zaslužijo zrezkov.; Po mojem si ti izdajalci ne zaslužijo zrezka.; Nič takega nimamo, kar bi jih mikalo.; Ti butci ne dojamejo sporočila.
 Dobili so zrezke? Zajebavaš, daj da vidim.; Vidiš? Takole nam serjejo na glavo, pa se še opravičijo ne.; Saj ne misliš resno.; Zrezek dobijo? Ne verjamem. Pokaži.
 Veš, kaj je to. Na tla.; Veš, kaj to pomeni. Na tla.; Na moj znak. Dve, ena, zdaj.; V redu, v redu. Poglej.
 Trudy, moj bog...; Hej, vidva.; Hej.; Dajmo, Grace!
 Max!; Max!; Jake!; Jake!
 Trudy, zaženi letalo.; Hčerka, vzemi moj lok.; Trudy, vžgi ladjo. Gremo!; Wainfleet, končaj že.
 Drži.; V redu je.; V redu je.; V redu.
 Prosto je, pridite.; Prav. Pojdite.; Gremo, hitro!; V redu, grem.
 Tukaj imaš.; Tu imaš!; Nimaš samo ti orožja, prasica.; Pazi, vozičkar.
 Max, ostani tukaj.; Sedi, za tvojo varnost gre.; Poslušaj me. Jake!; Pojdi nazaj.
 Tukaj potrebujem nekoga, ki mu lahko zaupam.; Max, ostani tu. Potrebujem nekoga, ki mu zaupam.; Če to storim, bom eden od njih.; Jaz poskrbim za svoje ljudi.
 Prav, pojdi.; V redu, grem.; Wainfleet, končaj že.; Pojdi nazaj.
 Vse prosto.; Link je vključen.; Dobrodošli v taboru.; Dobrodošel.
 Daj, mala.; Nimaš samo ti orožja, prasica.; Hej.; Hej, vidva.
 Polkovnik, nekaj se dogaja.; Charlie 21, nekaj se premika.; Na tleh se nekaj premika. Hitro se bliža.; Eytukan, nekaj bi rad povedal.
 Nedovoljen zagon motorjev.; Samson 16. Nepooblaščen vžig.; Od šibke gravitacije oslabiš.; Pozor! Upravljavci se odklapljajo od linkov.
 Gremo!; Gremo!; Gremo!; Gremo, gremo!
 Nadenite si maske!; Uničite jih!; Uničite ga!; Zbežite!
 Streljajo na nas, gremo!; Streljajo na nas. Gremo!; Gremo, gremo!; Gremo, gremo!
 Polkovnik!; Polkovnik!; Oče!; Oče!
 Sranje.; Sranje.; Sranje.; Prekleto.
 Ste vsi v redu tam zadaj? -Ja.; Norm, si v redu? –Ja.; Si v redu? –Ja.; Neverjetno, kaj? –Ja.
 Norm, si v redu? -Ja.; Norm, si v redu? –Ja.; Si v redu? –Ja.; Neverjetno, kaj? –Ja.
 To mi bo pokvarilo dan.; To mi bo pokvarilo dan.; Ne bo mi uspelo.; Navsezadnje je moj rojstni dan.
 Grace so zadeli. -Kaj?; Grace je ranjena. –Kaj?; Sranje. –Ste vsi celi?; Nič se ne vidi. –Saj. A ni zoprno?
 Prva pomoč je spredaj.; Pritisni. –Prva pomoč je spredaj.; Po hitrosti sodeč je električno.; To je soba z linki.
 Drži se, Grace. -Ni pomembno.; Dobro, Jake. –Odlično.; Bala sem se, Jake.; Zdaj sem s tabo, Jake.
 Je že v redu.; V redu je.; V redu je.; Saj ti je že.
 Smo pripravljeni? -Dvigni ga.; Lahko gremo. –Dvigni ga.; Hčerka, vzemi moj lok.; Počakajte! –Umaknite se.
 Drži se.; Prebudi se.; Drži se!; Nimaš samo ti orožja, prasica.
 Prosto je!; Kako je hitro!; Gremo, hitro!; Saj ti je že.
 Pojdi na sever, globoko v planine.; Pojdi nazaj.; Vzemi ikrana, napadi od zgoraj.; Povej jim, da bodo kmalu tu.
 Razumem.; Razumem.; Razumem.; Razumem.
 Norm, si v redu tam zgoraj?; Jake, me slišiš?; Me slišiš, Neytiri?; Rogue 1, me slišiš?
 Ja, še sem tukaj.; Ne boste verjeli, kje sem.; Ne vem več, kdo sem.; V redu, grem.
 Tukaj nam vsaj ne morejo slediti.; Nič takega nimamo, kar bi jih mikalo.; Torej ga moramo ustaviti.; Ker nismo edini, ki letijo tam okrog.
 Ne tako globoko v vrtincu.; Ampak ne tako kot tu.; Zdaj se ne več.; Bolj ali manj.
 Najmočnejši je ob drevesu duš, ali ne?; Ohranja samo ravnotežje življenja.; Pri Drevesu duš je najmočnejši, ne?; Nikoli ne bodo zapustili Domačega drevesa.
 Ja. -Dobro.; Dobro.; Dobro.; Hej.
 Zato, ker gremo točno tja.; Ker nismo edini, ki letijo tam okrog.; Tja bomo šli.; Tam smo.
 Res si prava cmera.; Res je dobra lovka.; Srečo imaš, da si ga dobila.; Nimaš samo ti orožja, prasica.
 Se premikamo?; Smo že tam?; Je to mogoče?; Se lahko malo pomirimo?
 Poiskal ti bom pomoč, Grace.; Zdaj sem s tabo, Jake.; Pomoč ti bom poiskal.; Eytukan, nekaj bi rad povedal.
 Znanstvenica sem, še se spomniš?; Boš naredil to zame?; Jake, me slišiš?; Me slišiš, Neytiri?
 Ne verjamem v pravljice.; Ne verjamem v pravljice.; Ne bo mi uspelo.; Zakaj jaz? To ni pošteno.
 Narod ti bo pomagal, prepričan sem v to.; Če to storim, bom eden od njih.; Uprl in boril se bom.; Opravil bom s čim manj žrtvami med domorodci.
 Zakaj bi nam hoteli pomagati?; Zakaj bi nam pomagali?; Kako bodo vedeli, da smo tu?; Kakšna logika je to?
 Narod pravi, da bo Eywa poskrbela za nas.; Ljudstvo pravi, da bo Eywa pomagala.; Na'vi to vedo, zato ga branijo.; Vsi v tem oporišču se borimo za preživetje.
 Ampak brez doma in upanja so lahko šli samo na en kraj.; Ko so ostali brez doma in upanja, so se lahko zatekli le na en kraj.; Samo peščica jih je lahko ostala.; Tista drevesa so bila za Omaticaye sveta.
 Povezava deluje, kakšen načrt imaš, Jake?; Slušni odziv normalen. Kako se počutiš, Jake?; Boš naredil to zame?; Kaj delaš?
 Ni načrta.; Zdaj se ne več.; Saj ti je že.; Ne zdi se kot šest let.
 Tsu'Tey je zdaj šef tam.; Zdaj je pri Eywi.; Na'vi to vedo, zato ga branijo.; Zdaj si sin Omaticaye.
 Niti blizu ti ne bo dovolil.; Ubiti te bo hotel.; Ne bo ti všeč.; Ne igraj se s tem, oslepel boš.
 Moram poskusiti.; Moram poskusiti.; To moram končati.; Ne, uspelo mi bo.
 Vključujem.; Sprožam.; Sprožam.; Po navodilih.
 Odpadnik, izdajalec, tujec.; Demon v lažnem telesu.; Izobčenec.; Jezdec zadnje sence.
 Bil sem na kraju, ki ga oko ne vidi.; Bil sem na kraju, ki ga oko ne vidi.; Zaljubil sem se v gozd, v ljudstvo Omaticaya in vate.; Opominja me na to, kaj je tam zunaj.
 Potreboval sem njihovo pomoč in oni so potrebovali mojo.; Potreboval sem njihovo pomoč, oni pa mojo.; Bil sem bojevnik, ki je mislil, da lahko prinese mir.; Če sem jim hotel še kdaj stopiti pred oči, sem moral storiti nekaj velikega.
 Da pa bi jim lahko zopet stopil pred oči, bom moral zadevo dvigniti na čisto nov nivo.; Upam, da teh bedarij ne bo na končnem izpitu.; Če sem jim hotel še kdaj stopiti pred oči, sem moral storiti nekaj velikega.; Lahko bi me zakrpali, če bi šel nazaj.
 Včasih se nam celotno življenje obrne v eni sami nori potezi.; Včasih se življenje strne v eno samo noro potezo.; Težko je napolniti čašo, ki je že polna.; Eno življenje se konča, drugo začne.
 Nekaj morava narediti.; Nekaj morava narediti.; Toda prej ali slej se moraš zbuditi.; To moram končati.
 In ne bo ti všeč.; Ne bo ti všeč.; To ti najbrž ne bo težko.; Lahko ji ukažeš, kaj naj dela.
 Po tem, kar sem vedel je Turok najhujša zver na nebu.; Zaljubil sem se v gozd, v ljudstvo Omaticaya in vate.; Rekel sem, da sanjehodci ne smejo sem.; Sovražnik je tam zunaj in zelo močan je.
 Njega nihče ne napade.; Sploh mi ni treba braniti.; Jaz sem samo pešak, ki gre nekam, kamor si ne želi.; Jaz poskrbim za svoje ljudi.
 Mirno, fant.; Mirno, fant.; Mirno, punca.; Mirno, ljudje.
 Zakaj bi torej kdaj pogledal gor?; Zakaj bi se torej oziral gor?; Naj torej plešem z njim?; Zakaj bi nam pomagali?
 To je bila samo teorija.; Ampak to je bila le teorija.; To plačuje tvojo znanost.; Razumete? To je mreža.
 Vidim te.; Vidim te.; Vidim te.; Oče, vidim te.
 In jaz tebe.; Tudi jaz tebe.; Zaradi mene.; Ampak meni.
 Bala sem se, Jake.; Bala sem se, Jake.; Jake, Eywa te je slišala.; Zdaj sem s tabo, Jake.
 Za moj narod.; To je mati.; Zaupajo mi.; Moja je prazna, verjemite.
 Sedaj pa me ni več strah.; Ne, uspelo mi bo.; Sploh mi ni treba braniti.; Ne bo mi uspelo.
 Tsu'Tey, sin Ateya, pred teboj stojim, da poskusim rešiti narod Omaticaya.; Tsu'tey, Ateyev sin, pred tabo stojim, pripravljen služiti ljudstvu Omaticaya.; Tvoj duh gre k Eywi.; Ko vzpostaviš tsaheylu, ikran leti samo še s tabo.
 Ti si njihov vodja.; Močno srce imaš.; Jaz poskrbim za svoje ljudi.; Ti si kriv. Ne bi jim bilo treba umreti.
 In velik bojevnik.; Ampak neumen. Neveden kot otrok.; Ali največji.; Močno srce imaš.
 Brez tebe mi ne bo uspelo.; Brez tebe mi ne bo uspelo.; Vem, kdo si. Ne potrebujem tebe, ampak tvojega brata.; Samo hvala bi ti rekel, ker si jih pobila.
 Toruk Makto.; Tsaheylu.; Oo-rah.; Nočem Ninat.
 Letel bom s teboj.; Toruk Macto, letel bom s tabo.; Brez tebe mi ne bo uspelo.; Pogumen si, da si prišel sem.
 Moja prijateljica umira.; Moja prijateljica umira.; Moja je prazna, verjemite.; Premikamo se.
 Grace umira.; Grace umira.; Grace.; Jake.
 Prosim za pomoč Eywe.; Prosim za Eywino pomoč.; Tvojo pomoč rabim.; Hvala, ker ste leteli z Air Pandoro.
 Poglej, kje sva, Grace.; Poglej, kje sva, Grace.; Zdaj sem s tabo, Jake.; Pri njej sem, Jake.
 Vzorec potrebujem.; Prosim za Eywino pomoč.; Tvojo pomoč rabim.; Vendar potrebujem pomoč.
 Velika mati se lahko odloči, da prenese vse, kar ona je v to telo.; Velika mati lahko reši vse, kar je v tem telesu.; Ohranja samo ravnotežje življenja.; Če hočete deliti ta svet z njimi, jih morate razumeti.
 Je to mogoče?; Je to mogoče?; Je to res?; Je uspelo?
 Mora skozi oko Eywe in se potem vrniti.; Iti mora skozi Eywino oko in se vrniti.; In če oslabiš, te Pandora brez opozorila ubije.; Oditi morate, drugače boste umrli.
 Ampak, Jake Sully zelo slabotna je.; Ampak, Jakesully, zelo šibka je.; Pri njej sem, Jake.; Bala sem se, Jake.
 Drži se, Grace, pomagali ti bodo.; Drži se, Grace. Ozdravili te bodo.; Zdaj sem s tabo, Jake.; Potem bomo videli, ali je tvoja blaznost ozdravljiva.
 Poslušaj nas, vsemogočna mati. Prosimo te za pomoč.; Vidim te, brat, in zahvaljujem se ti.; Tvojo pomoč rabim.; Iz neznanega razloga so Omaticayi izbrali tebe. Bog se nas usmili.
 Eywa, pomagaj ji.; Wainfleet, končaj že.; Hčerka, vzemi moj lok.; Eywa te je slišala!
 Sprejmi vase ta duh...; Vzemi ta duh vase in ga dahni nazaj med nas.; Usliši nas, mati vsega.; Tvoje telo ostaja tu in bo postalo del ljudi.
 in jo obudi nazaj.; Vzemi ikrana, napadi od zgoraj.; Hčerka, vzemi moj lok.; Pojdi nazaj.
 Naj hodi zopet z nami...; Naj spet hodi med nami kot ena od nas.; Usliši nas, mati vsega.; Naj se Mati vsega nasmehne ob najinem prvem srečanju.
 kot ena izmed Naroda.; Eywa, vir vse energije.; Tsahik naj odloči.; To je prvi bojevnik sanjehodcev, ki ga vidimo.
 Jake...; Jake Sully.; Jake.; Jake?
 Grace.; Grace.; Jake.; Grace umira.
 Z njo sem, Jake.; Pri njej sem, Jake.; Zdaj sem s tabo, Jake.; Bala sem se, Jake.
 Resnična je.; Resnična je.; To je dejstvo.; In tudi to je dejstvo.
 Grace! Grace!; Grace!; Grace!; Sem!
 Kaj se dogaja?; Kaj se dogaja?; Kaj se dogaja?; Kaj se dogaja?
 Je delovalo?; Je uspelo?; Je to mogoče?; Je to res?
 Njene rane so bile prehude.; Rane so bile prehude. Premalo časa je bilo.; Čas velike žalosti je bil pri koncu.; Tista drevesa so bila za Omaticaye sveta.
 Ni bilo dovolj časa.; Rane so bile prehude. Premalo časa je bilo.; Nihče mu ni nič mogel.; Splačalo se je poskusiti.
 Zdaj je z Eywo.; Zdaj je pri Eywi.; Pri njej sem, Jake.; Zdaj si sin Omaticaye.
 S tvojim dovoljenjem bi zdaj spregovoril.; Upal sem, da boš to rekel.; Če dovoliš, bi rad nekaj povedal.; To je zdaj tvoj avatar, Jake.
 Bilo bi mi v čast, če boš prevajal.; V čast mi bo, če boš prevajal.; Če dovoliš, bi rad nekaj povedal.; To ti najbrž ne bo težko.
 Ljudje iz nebes so nam poslali sporočilo, da si lahko vzamejo vse, kar si želijo.; Ljudje z neba so nam sporočili, da lahko vzamejo, kar hočejo, in da jih ne more nihče ustaviti.; Ljudem z neba bomo pokazali, da ne morejo vzeti, kar hočejo, in da je to naša zemlja.; Velika mati lahko reši vse, kar je v tem telesu.
 In da jih nihče ne more ustaviti.; Razen če jih ustavimo.; Da moramo videti, kje letimo.; Ker nismo edini, ki letijo tam okrog.
 Ampak mi bomo poslali sporočilo njim.; Tudi mi bomo njim poslali sporočilo.; Tja bomo šli.; Ampak to se ne bo zgodilo.
 Poletite naokrog tako hitro, kot vas bo veter lahko nesel.; Pojezdite hitro, kolikor vas veter nese.; Pripravite vse orožje.; Strelci, glejte na vse strani.
 Povejte drugim klanom, naj pridejo sem.; Izpeljite to ostro in odločno, da bom do večerje doma.; Povej jim, da bodo kmalu tu.; Recite jim, da jih kliče Toruk Macto.
 Povejte jim, da jih kliče Turok Makto.; Recite jim, da jih kliče Toruk Macto.; Če obstaja pekel, pojdite tja na dopust po Pandori.; Dovolite mi, da jih prepričam.
 Poletite zdaj!; Poletite z mano!; Gremo, hitro!; Razstrelite jo!
 Z menoj.; Tudi jaz tebe.; Zaradi mene.; Na moj znak. Dve, ena, zdaj.
 Moji bratje, sestre, pokazali bomo ljudem z nebes, da si ne morejo vzeti vsega, kar si želijo!; Ljudem z neba bomo pokazali, da ne morejo vzeti, kar hočejo, in da je to naša zemlja.; Usliši nas, mati vsega.; Vzemi ta duh vase in ga dahni nazaj med nas.
 In da je to naša dežela!; Samo drevesa so!; In tudi to je dejstvo.; Saj to ni res!
 Odjahali smo na vse štiri strani sveta, do klana konjenikov na velikih ravninah, do naroda Ikranov ob vzhodnem morju.; Zaljubil sem se v gozd, v ljudstvo Omaticaya in vate.; Pojezdili smo na vse štiri smeri neba.; Ljudi z neba smo poskusili učiti.
 Ko jih je poklical Turok Makto so prišli.; Ko jih je Toruk Macto poklical, so prišli.; Rekel sem, da sanjehodci ne smejo sem.; Zakaj si prišel k nam? –Učit sem se prišel.
 Dejstvo je, da se vsi na tej bazi borimo za preživetje.; Edina težava je, da nisi edini.; Mislim, da je čas, da opravimo nalogo.; Veliko dobrih žensk imamo.
 Tam zunaj se zbira krdelo domorodcev za napad.; Zunaj se domorodske horde zbirajo za napad.; Sully, spoznaj te divjake, pridobi njihovo zaupanje.; Quaritch je poslal plovila. Napadel bo Domače drevo.
 Orbitalni posnetki kažejo da se je število sovražnikov povečalo od nekaj sto do precej več kot dva tisoč v samo enem dnevu.; Orbitalne slike kažejo, da je njihovo število z nekaj sto v enem dnevu naraslo na več kot dva tisoč.; Zunaj se domorodske horde zbirajo za napad.; V enem tednu jih je lahko 20.000.
 In še več jih prihaja.; In še več jih prihaja.; Gotovo nas že opazujejo.; Zelo blizu so. Veliko jih je.
 V enem tednu jih je lahko več kot dvajset tisoč.; V enem tednu jih je lahko 20.000.; Ti butci ne dojamejo sporočila.; Kar je verjetno veliko.
 Takrat jih bo dovolj, da prebijejo našo obrambo.; Prednost domačega igrišča imamo.; Če bi bil na pripravah, bi to vedel.; Mislim, da je drugi obroč nosilen.
 To se ne sme zgoditi.; Ampak to se ne bo zgodilo.; To je pomembno.; To ni prav.
 Varni smo lahko samo, če napademo prvi.; Sovražnik je tam zunaj in zelo močan je.; To se zgodi, če proti njim uporabiš strojnice.; Torej ga moramo ustaviti.
 Proti sili se bomo borili s silo.; Prisiliti jih moramo k sodelovanju ali uničiti.; Torej ga moramo ustaviti.; Tja bomo šli.
 Sovražniki verjamejo, da njihovo planinsko utrdbo varuje njihovo božanstvo.; Sovražniki verjamejo, da njihovo gorsko oporišče varuje njihovo … Njihovo božanstvo.; Zunaj se domorodske horde zbirajo za napad.; Tu živijo tudi humanoidi, imenovani Na'vi.
