 Zato se je obnašala prijazno.; Zato je bila prijazna.
 Ti boš v povezavi na koncu.; Zavij levo. V linku na koncu boš.
 Enota ena, Bueler.; Enota 1, Beulah. Najmanj nagaja.
 Ne glej ji v oči.; Ne glej je v oči.
 Ko se vzpostavi Sa'helu bo Ikran letel dobro.; Ko vzpostaviš tsaheylu, ikran leti samo še s tabo.
 Da postaneš Aron'yu, lovec moraš izbrati svojega lastnega Ikrana in on mora izbrati tebe.; Če hočeš postati taronyu, lovec, moraš izbrati svojega ikrana in on mora izbrati tebe.
 Kdaj? -Ko boš pripravljen.; Kdaj? –Ko boš pripravljen.
 To je video dnevnik dvanajst.; To je soba z linki.
 Ura je 21:32.; Ura je 21.32.
 Res moram to narediti zdaj? Potrebujem malo počitka.; Moram zdaj? Res se moram naspati.
 Ne, zdaj, ko še je sveže.; Zdaj, dokler je sveže.
 Jezik je še vedno težaven, ampak...; To je zelo dolgo. –Ja.
 Ugotovil sem, da je kot razstavljanje orožja. Vse je stvar ponavljanja.; Jezik je naporen, ampak podobno je razstavljanju orožja. Eno samo ponavljanje.
 Normovo obnašanje se zadnje čase popravlja.; Nato pa se je vse spremenilo.
 To ne pomeni samo, da te vidim pred seboj, ampak, da vidim v tebe...;" Ni samo ""vidim te pred sabo"", ampak ""Vidim vate."" Dobro je, da je z nami, ampak tudi zanj sem skxawng."
 Lepo, da zopet sodelujeva, ampak tudi on misli, da sem scoun.; Nisem več pri marincih, ampak nastrojenost ostane.
 Vsak dan lahko tečem dalj.; Stopala so se mi okrepila. Vsak dan tečem dlje.
 Vsak dan je branje sledi, opazovanje divjine, najslabši vonji in zvoki.; Zaljubil sem se v gozd, v ljudstvo Omaticaya in vate.
 Vedno govori o pretoku energije, o živalskih duhovih.; Kar naprej govori o pretoku energije in živalskih duhovih.
 Res upam, da to objemanje dreves ni vse.; Upam, da teh bedarij ne bo na končnem izpitu.
 Tukaj ne gre samo za koordinacijo med očmi in rokami.; Ne gre samo za koordinacijo oči in rok.
 Poskusi videti gozd skozi njene oči.; Poskusi videti gozd z njenimi očmi.
 Oprosti, to je moj video dnevnik.; To je moj zadnji video dnevnik.
 Ob Neytiri se lahko samo hitro naučiš ali pa umreš.; Z Neytiri se moraš hitro učiti, drugače umreš.
 Moat sem pregovoril, da sme Grace nazaj v vas.; Mo'at sem vprašal, ali bi spustila Grace v vas.
 Tako ste zrasli.; Kako ste lepi.
 Prvič, odkar so zaprli njeno šolo.; Prvič, odkar so njeno šolo zaprli.
 Tako ste prikupni.; Kako ste veliki.
 Ne, pa ne boš, pridi nazaj sem.; Tako je. Steci nazaj k mamici.
 Poskušam razumeti to globoko povezavo, ki jo imajo ljudje z gozdom.; Poskušam dojeti njihovo globoko vez z gozdom.
 Govori o pretoku energije.; Govori o mreži energije, ki se pretaka skozi vsa živa bitja.
 Ta teče skozi vsa živa bitja.; Govori o mreži energije, ki se pretaka skozi vsa živa bitja.
 Pravi, da je vsa energija samo sposojena.; Pravi, da je energija samo sposojena in da jo moraš nekoč vrniti.
 In nekega dne jo moramo vrniti.; Torej ga moramo ustaviti.
 Vidim te, brat, in se ti zahvaljujem.; Vidim te, brat, in zahvaljujem se ti.
 Tvoj duh bo šel k Eywi, tvoje telo pa bo ostalo tukaj in postalo del Naroda.; Tvoje telo ostaja tu in bo postalo del ljudi.
 Naučiti se leteti na Ikranu, ki jih tukaj imenujejo Banshee, je test, ki ga mora prestati vsak mlad lovec.; Letenje z ikranom, mi jim rečemo furije, je preizkus, ki ga mora opraviti vsak mlad lovec.
 Da pa bi to naredil moraš iti tja, kjer Bansheeji živijo.; Toda treba je iti tja, kjer so furije.
 Kaj pa zdaj?; Pa zdaj?
 Jake Sully bo šel prvi.; Jakesully bo šel prvi.
 Zdaj boš izbral svojega Ikrana.; Samo eno priložnost boš imel.
 Moraš ga začutiti znotraj sebe.; Bolje ga moramo spoznati.
 Če bo tudi on izbral tebe moraš biti hiter, kot sem ti pokazala.; Brez tebe mi ne bo uspelo.
 Samo eno priložnost boš imel, Jake.; Samo eno priložnost boš imel.
 Kako bom vedel, da je tudi on izbral mene?; Kako bom vedel, da me je izbral?
 Poskusil te bo ubiti.; Ubiti te bo hotel.
 Ne boj se, bojevnik!; Ne boj se, bojevnik.
 Sa'Helu, Jake!; Jake!
 Tako je prav, zdaj si moj.; Pogumen si, da si prišel sem.
 Prvi polet zapečati zvezo, zdaj ne smeš čakati.; Prvi polet zapečati vez. Ne smeš čakati.
 Utihni in leti naravnost!; Vzemi ta duh vase in ga dahni nazaj med nas.
 Tako je prav.; To ni prav.
 Zavij levo.; Tako ja. Nagni se na levo.
 Morda res nisem bil dober s konji, ampak za to sem bil rojen.; Konji mi ne ležijo preveč, za to pa sem rojen.
 Jaz naredim takole, ti pa tako.; Potem me pa nauči videti.
 Obrnem se in občutim veter, močno se obrnem.; Molči in leti naravnost.
 Drevo duš.; Drevo glasov.
 To je njihov najsvetejši kraj.; Njihov najsvetejši kraj.
 Vidiš energetski vrtinec in te lažne barvne podobe?; Vidiš Vrtinec na teh pobarvanih slikah?
 To moti moje naprave.; To moti moje instrumente.
 Tam spodaj se dogaja nekaj biološko izjemno zanimivega.; Tam se dogaja nekaj biološko zelo zanimivega.
 Umrla bi za kak vzorec.; Vse bi dala za nekaj vzorcev.
 Za prišleke je dostop strogo prepovedan.; V enem tednu jih je lahko 20.000.
 Bil sem ledeno hladen zračni lovec.; Bil sem svoboden.
 Smrt z višine.; Neusmiljen zračni lovec sem bil. Smrt od zgoraj.
 Edini problem je, da nisem edini.; Edina težava je, da nisi edini.
 Za menoj!; Za mano!
 Imenujemo ga veliki leonopteryx.; Naši mu rečejo veliki leonopteriks.
 To je Toruk, zadnja senca.; To je toruk. Zadnja senca.
 Seveda, saj je zadnja, kar jih kdaj vidiš.; Samo hvala bi ti rekel, ker si jih pobila.
 Ded mojega deda je bil Toruk Makto.; Moj prapraded je bil toruk macto.
 Na tem je jahal?; To je jezdil?
 To se je zgodilo samo petkrat vse od časov prvih pesmi.; V času od Prve pesmi se je zgodilo samo petkrat.
 Toruk Makto je bil mogočen.; Toruk macto je bil mogočen.
 Združil je klane v času velikega žalovanja.; V času velike žalosti je združil klane.
 Ves Na'vi narod pozna to zgodbo.; Vsi Na'vi poznajo to zgodbo.
 Zdaj vse izgleda obrnjeno.; Nato pa se je vse spremenilo.
 Kot da bi bil tam zunaj resničen svet, to tukaj pa samo sanje.; Zdaj je vse obrnjeno. Kot da je tam zunaj resnični svet, to tukaj pa sanje.
 Ne morem verjeti, da so minili samo še trije meseci.; Težko je verjeti, da so minili samo trije meseci.
 Sploh se ne spomnim več vsega iz svojega življenja.; Starega življenja se skoraj ne spomnim več.
 Ne vem več, kdo sploh sem.; Ne vem več, kdo sem.
 Saj se nisi izgubil v gozdovih, ali ne?; Si se izgubil v gozdu?
 Tvoje zadnje poročilo je bilo pred več kot dvema tednoma.; Že več kot dva tedna nisi poročal.
 Začel sem že dvomiti, da si dal odpoved.; Začel sem dvomiti o tvoji odločnosti.
 Čas je, da končamo nalogo. -Tega ne morem narediti.; Mislim, da je čas, da opravimo nalogo.
 Saj si že.; Saj ti je že.
 Dal si mi dobre in uporabne podatke.; Dal si mi uporabne podatke.
 S tem jih bom držal v šahu, ko se bo začel boj, in do tega bo gotovo prišlo.; Če to storim, bom eden od njih.
 Zdaj je čas, da se vrneš.; Zdaj pa je čas, da se vrneš.
 Dogovor je sklenjen, nocoj si lahko že na shuttlu.; Zdaj pa je čas, da se vrneš.
 Končati moram s tem.; To moram končati.
 Ostala je samo še ena stvar.; Samo še ena peklenska luknja.
 To je zadnja stvar, da postaneš mož.; Zdaj pa je čas, da se vrneš.
 Če jo opravim bom eden izmed njih.; Če to storim, bom eden od njih.
 Zaupali mi bodo.; In zaupali mi bodo.
 Lahko se bom pogajal o pogojih za njihovo premestitev.; Lahko se bom dogovoril o selitvi.
 Potem pa to tudi opravi, desetar.; Potem me pa nauči videti.
 Na'vi pravijo, da se vsak rodi dvakrat.; Na'vi pravijo, da se človek rodi dvakrat.
 Drugič je, ko si zaslužiš svoj prostor med ljudmi, za vedno.; Drugič se rodiš, ko si prislužiš prostor v ljudstvu za vedno.
 Tukaj je kraj, kjer se poslušajo molitve.; Tu je kraj, kjer so molitve slišane.
 In včasih so tudi uslišane.; In včasih uslišane.
 To drevo imenujemo drevo glasov.; Vsako drevo ima deset na četrto povezav z drevesi okrog sebe.
 Lahko jih slišim.; Veliko dreves vidim. Lahko se preselijo.
 Svoj lok lahko narediš iz lesa domovinskega drevesa.; Lahko si narediš lok iz lesa Domačega drevesa.
 Lahko si tudi izbereš ženo.; In lahko si izbereš žensko.
 Nenat je najboljša pevka.; Ninat je najboljša pevka.
 Nočem Nenat.; Nočem Ninat.
 Paral je dobra lovka.; Peyral je dobra lovka.
 Ja, res je dobra lovka.; Res je dobra lovka.
 Ampak ta ženska mora tudi izbrati mene.; Ampak tudi ta ženska mora izbrati mene.
 Saj te je že.; Saj ti je že.
 Zdaj sem s teboj, Jake.; Zdaj sem s tabo, Jake.
 Poročena sva za vse življenje.; Združena sva za vse življenje.
 Kaj za vraga delaš, Jake?; Kaj za vraga delaš, Jake!
 Ne pozabi na fazno integracija, srednji gumb.; Ne pozabi fazne integracije.
 Ne prisili me, da bom na silo hranila invalida.; Ne stori ničesar izjemno neumnega.
 Kdaj si se zadnjič stuširal?; Kdaj si se nazadnje oprhal?
 Zbudi se!; Poberi se!
 Hej, šef.; Hej, vidva.
 Kar naprej, se bo že umaknil.; Ta tujec se ne bo ničesar naučil.
 Dajmo. Gremo, gremo.; Gremo, gremo!
 Vidiš, umaknil se je.; Tako. Umaknil se je.
 Jake! -Neytiri!; Jake! –Neytiri!
 Povečaj in izostri.; Uporabi, kar imaš, in pokaži rezultate.
 Pokličite mi pilota. -Ja, gospod.; Ste videli to? –Da, gospod.
 Tsu'Tey bo vodil naše bojevnike.; Tsu'tey bo vodil bojno odpravo.
 Tukaj nimaš pravice govoriti!; Tu nimaš pravice govoriti.
 Udarili jih bomo naravnost v srce!; Udarili jih bomo v srce.
 Poročila sva se pred Eywo, končano je.; Zdaj pa je čas, da se vrneš.
 Pa tudi tvoj sovražnik nisem!; Nisem tvoj sovražnik.
 Sovražniki so tam zunaj! In zelo močni so!; Sovražnik je tam zunaj in zelo močan je.
 Lahko govorim z njimi. -Konec je s pogovori!; Lahko bi te. –Obrzdaj svojega psa.
 Omaticaya sem, sem eden izmed vas.; Omaticaya sem. Eden od vas sem.
 Pravico imam govoriti.; In pravico imam govoriti.
 In nekaj vam moram povedati, vam vsem.; In zaupali mi bodo.
 Zaradi tega, kar moram povedati mi bo okamenelo srce.; To mi bo pokvarilo dan.
 To je zelo nevarno!; Zelo težko jih je ubiti.
 Sem so me poslali...; Sem so me poslali … Vidite?
 To je samo še en tujec v lažnem telesu!; Ta tujec se ne bo ničesar naučil.
 Se vam je čisto zmešalo? -Ti si prestopil mejo.; Zdaj si sin Omaticaye.
 Jake! Kaj za vraga se dogaja?; Jake! Kaj se dogaja?
 Sinko, izdal si me.; Razočaral si me.
 Pa kaj!; Pa zdaj?
 Našel si domačinko in pozabil, za katero ekipo igraš?; Kako torej, si našel domačinko in pozabil, za katero ekipo igraš?
 Parker, še je čas, da rešimo položaj...; Še lahko rešimo položaj.
 Praviš, da bi rad obdržal svoje ljudi žive?; Bi radi ohranili svoje ljudi žive?
 Ta drevesa so bila za Omaticaye sveta, na način, ki si ga ne moreš predstavljati.; Tista drevesa so bila za Omaticaye sveta.
 Če tukaj vržeš v zrak palico bo gotovo pristala na kašnem svetem listu.; Tu je deset na dvanajsto dreves.
 Ne govorim o nekem poganskem vuduju.; Ne bi smel biti tu.
 Govorim o resnični stvari, o nečem, kar je mogoče izmeriti v biologiji gozda.; Kamorkoli tu vržeš palico, pade na kakšno sveto praprot, za božjo voljo! –Ne gre za kakšen poganski vudu. Gre za nekaj resničnega, izmerljivega v gozdu.
 In kaj natančno je to?; In kaj je to?
 Zaenkrat za gotovo vemo, da obstaja neke vrste elektro-kemična komunikacija med koreninami dreves.; Mislim, da nekakšna elektrokemična komunikacija med koreninami dreves, kot sinapse med nevroni.
 Tak kot sinapse ned nevroni.; Mislim, da nekakšna elektrokemična komunikacija med koreninami dreves, kot sinapse med nevroni.
 Vsako drevo ima deset do štirideset povezav do okoliških dreves.; Vsako drevo ima deset na četrto povezav z drevesi okrog sebe.
 Na Pandori je deset na dvanajsto potenco dreves.; Tu je deset na dvanajsto dreves.
 Domnevam, da je to veliko?; Je to res?
 Razumeš? To je omrežje.; To je dejstvo.
 To je globalno omrežje in Na'vi imajo dostop do njega.; Sovražnik je tam zunaj in zelo močan je.
 Podatke lahko nanj nalagajo in sprejemajo.; V enem tednu jih je lahko 20.000.
 Spomine, na mestih kot je bilo to, ki ste ga uničili.; Na krajih, kakšnega ste uničili.
 Kaj za vraga ste vi ljudje tam zunaj kadili?; Kaj ste pa kadili tam zunaj?
 To je samo prekleto drevje.; Če pridejo do Drevesa duš, je konec.
 Čas je, da se zbudiš, Parker. -Ne, vi se morate zbuditi.; Ta kraj bodo uničili. –Neytiri, morate oditi.
 Bogastvo tega sveta ni v zemlji, pač pa vsepovsod okrog nas.; Bogastvo tega sveta ni v tleh, ampak vse okrog nas.
 Na'vi se tega zavedajo in borili se bodo, da to obranijo.; Na'vi to vedo, zato ga branijo.
 Če hočete ta svet deliti z njimi jih morate razumeti.; Če hočete deliti ta svet z njimi, jih morate razumeti.
 Mislim, da jih zahvaljujoč Jaku dovolj dobro razumemo.; Mislim, da je čas, da opravimo nalogo.
 Nikoli se ne bodo odrekli domu.; Ne bodo se odpovedali svojemu domu.
 Ne bodo sklepali kupčij.; Ne bodo se odpovedali svojemu domu.
 Za kaj, za brezalkoholno pivo?; Za kaj? Za pivo?
 Nimamo ničesar, kar bi oni hoteli.; Nič takega nimamo, kar bi jih mikalo.
 Nikoli ne bodo zapustili domovinskega drevesa.; Nikoli ne bodo zapustili Domačega drevesa.
 Čisto sem se raznežil, skoraj bi te poljubil.; Samo hvala bi ti rekel, ker si jih pobila.
 Opravil bom z kar najmanj žrtvami med domačini.; Opravil bom s čim manj žrtvami med domorodci.
 Najprej jih bom izgnal s plinom.; Najprej jih bom pregnal s plinom.
 To bo človeško.; Ampak to se ne bo zgodilo.
 Tako to poteka.; Tako se to dela.
 Ko ljudje sedijo na tem, kar hočeš imeti, jih narediš za sovražnike, tako opravičiš to, kar si prisvojiš.; Če nekdo sedi na nečem, kar hočeš, ga narediš za sovražnika. In potem mu imaš pravico tisto vzeti.
 Quatrich se spravlja v bojna letala.; Zunaj se domorodske horde zbirajo za napad.
 Dr. Augustine, ne smete sem!; Dr. Augustine, ne smete sem. –Umakni se!
 Umakni se!; Poberi se!
 To so navadni divjaki, ki živijo na drevesu.; To so ušivi divjaki, ki živijo v drevesu.
 Ne vem, kaj je z vami, ampak jaz vidim veliko dreves.; Tu je deset na dvanajsto dreves.
 Lahko se preselijo.; Veliko dreves vidim. Lahko se preselijo.
 Bi se lahko vidva... -Tam so družine.; Mater, so veliki.
 Otroci, dojenčki. Boš pobijal otroke?; Boš pobil otroke?
 Naj jih poskusim pregovoriti.; Dovolite mi, da jih prepričam.
 Poslušaj me, uro časa imate.; Poslušaj. Eno uro časa imaš.
 Če nočeš svojega dekleta tam notri ko padejo sekire jih prepričaj v umik. V eni uri.; Če nočeš, da je tvoja punca tam, ko bomo napadli, naj se izselijo. Ena ura.
 Oče! Mati!; Oče!
 Eytukan, nekaj vam moram povedati.; Eytukan, nekaj bi rad povedal.
 Poslušajte ga.; Odpeljite ga.
 Govori, Jake Sully.; Jake Sully.
 Veliko zlo prihaja nad nas...; Veliko zlo nam grozi.
 Ljudje iz nebes prihajajo sem, da bi uničili naš dom.; Ljudje z neba bodo prišli, da bi uničili Domače drevo.
 Povejte jim, da bodo kmalu tukaj.; Verjemite, da so tam.
 Morate oditi, drugače boste vsi umrli.; Oditi morate, drugače boste umrli.
 Si prepričan v to?; Si prepričan?
 Sem so me poslali, da bi se učil o vas.; Sem so me poslali, da bi vas spoznal in da bi vam nekoč lahko predal to sporočilo.
 Da bi vam lahko nekega dne predal to sporočilo in da bi mi vi verjeli.; Sem so me poslali, da bi vas spoznal in da bi vam nekoč lahko predal to sporočilo.
 Kaj praviš, Jake?; Kaj za vraga delaš, Jake!
 Vedel si, da se bo to zgodilo?; Kaj hočeš reči? Si vedel, da se bo to zgodilo?
 Najprej sem samo poslušal ukaze.; Sprva sem samo ubogal ukaz.
 Potem pa se je vse spremenilo.; Nato pa se je vse spremenilo.
 Zaljubil sem se v gozd.; Zaljubil sem se v gozd, v ljudstvo Omaticaya in vate.
 V tebe.; Tudi jaz tebe.
 Zaupala sem ti. -Zaupaj mi še zdaj, prosim.; Zaupala sem ti! –Zaupaj mi še zdaj, prosim.
 Nikoli ne boš član Naroda!; Nikoli ne boš eden od nas!
 Poskusil jih je ustaviti!; Ne bi smel … –Poskušali smo jih ustaviti!
 Zbežite v gozd! -Prihajajo!; Zbežite v gozd! –Prihajajo!
 Pojdite v gozd! Bežite!; Bežite v gozd! Bežite!
 To pa je res prekleto veliko drevo.; Ampak to je bila le teorija.
 Izgleda, da je diplomaciji spodletelo.; Glej, glej. Kaže, da je diplomaciji spodletelo.
 V redu, ljudje, pa opravimo.; V redu, grem.
 Hočem, da gre vsak naboj plina naravnost skozi glavna vrata.; Vodja varnostnikov sem. Moja naloga je, da vas ohranim žive.
 Razumem, CS-40 je pripravljen.; Mislim, da je drugi obroč nosilen.
 Zadetek. Dobro ciljaš, mojster.; Dobro se uči, Jakesully.
 Gospod, streljajo na nas.; Streljajo na nas. Gremo!
 Vsi se umaknite v gozd!; Odklopili se bodo!
 Tako se znebiš ščurkov.; Tako se prežene ščurke.
 Proč morava, razstrelil bo stebre!; Stran morava, uničil bo stolpe.
 Moat, ne!; Človek, ne!
 Če si res eden izmed nas...; Nikoli ne boš eden od nas!
 Vse enote, vključite rakete.; Vse enote, vklopite izstrelke.
 Namerite na osnovo zahodnih stebrov.; Imajo zunanji obroč stebrov.
 Ja, mala, tu imaš!; Tu imaš!
 Podrite ga.; Odpeljite ga.
 Pridi, Grace, hitro!; Gremo, hitro!
 Na tla!; Veš, kaj to pomeni. Na tla.
 Kaj za vraga delaš?; Kaj delaš?
 Dobro opravljeno, ljudje.; Mirno, ljudje.
 Nocoj plačam prvo rundo.; Dobro ste opravili. Nocoj prvo rundo plačam jaz.
 Vzemi moj lok.; Hčerka, vzemi moj lok.
 Žal mi je.; V redu. Žal mi je.
 Nikoli se ne vračaj!; Nikoli se ne vrni!
 Tega ne smete!; Ne, tega ne smete! –Tega ne smete!
 Bil sem bojevnik, ki je sanjal, da bo prinesel mir.; Bil sem bojevnik, ki je mislil, da lahko prinese mir.
 A prej ali pozneje, na koncu se vedno zbudiš.; Toda prej ali slej se moraš zbuditi.
 Kako kaj gre, dolgo se že nisva videla.; Kaj se dogaja? Dolgo se nisva videla.
 Osebno menim, da si ti izdajalski ljubitelji drevja ne zaslužijo zrezkov.; Po mojem si ti izdajalci ne zaslužijo zrezka.
 Veš, kaj je to. Na tla.; Veš, kaj to pomeni. Na tla.
 Trudy, zaženi letalo.; Trudy, vžgi ladjo. Gremo!
 Tukaj potrebujem nekoga, ki mu lahko zaupam.; Max, ostani tu. Potrebujem nekoga, ki mu zaupam.
 Polkovnik, nekaj se dogaja.; Charlie 21, nekaj se premika.
 Streljajo na nas, gremo!; Streljajo na nas. Gremo!
 Ste vsi v redu tam zadaj? -Ja.; Norm, si v redu? –Ja.
 Norm, si v redu? -Ja.; Norm, si v redu? –Ja.
 Grace so zadeli. -Kaj?; Grace je ranjena. –Kaj?
 Prva pomoč je spredaj.; Pritisni. –Prva pomoč je spredaj.
 Drži se, Grace. -Ni pomembno.; Bala sem se, Jake.
 Smo pripravljeni? -Dvigni ga.; Lahko gremo. –Dvigni ga.
 Drži se.; Prebudi se.
 Pojdi na sever, globoko v planine.; Pojdi nazaj.
 Ne tako globoko v vrtincu.; Ampak ne tako kot tu.
 Najmočnejši je ob drevesu duš, ali ne?; Pri Drevesu duš je najmočnejši, ne?
 Res si prava cmera.; Res je dobra lovka.
 Se premikamo?; Se lahko malo pomirimo?
 Poiskal ti bom pomoč, Grace.; Pomoč ti bom poiskal.
